Du,Dd,Fu_Nq,Fd_Nq,Fu_NEvents,Fd_NEvents,Du_out,Dd_out,Fu_Nq_out,Fd_Nq_out,Fu_NEvents_out,Fd_NEvents_out,Du_in,Dd_in,Fu_Nq_in,Fd_Nq_in,Fu_NEvents_in,Fd_NEvents_in,Du_notIN,Dd_notIN,Fu_Nq_notIN,Fd_Nq_notIN,Fu_NEvents_notIN,Fd_NEvents_notIN,Du_notOUT,Dd_notOUT,Fu_Nq_notOUT,Fd_Nq_notOUT,Fu_NEvents_notOUT,Fd_NEvents_notOUT
-0.9049415314975481,-0.9777096684313179,0.2667807185267183,0.722350810103653,0.2584072521688274,0.6996783312213666,-0.7818181818181819,-0.9680851063829787,0.22088353413654618,0.7550200803212851,0.20833333333333334,0.7121212121212122,-0.9035916824196597,-0.97976011994003,0.28138297872340423,0.7095744680851064,0.27303225806451614,0.6885161290322581,-0.9058380414312618,-0.9764966740576496,0.2578921806702283,0.7301278937995791,0.24953007518796994,0.706453634085213,-0.9075500770416025,-0.9779685264663805,0.26796036333608586,0.7215111478117259,0.25972986493246625,0.6993496748374187
-0.9174064067927441,-0.9778082191780821,0.2592814970479336,0.7305113579505654,0.25118759088705767,0.7077072224915172,-0.8571428571428571,-1.0,0.21761658031088082,0.7616580310880829,0.2079207920792079,0.7277227722772277,-0.9357512953367876,-0.984596676124848,0.2783386212864148,0.7115661955581194,0.2689520624303233,0.6875696767001115,-0.906519065190652,-0.9743430581419408,0.24915721728470733,0.7405761569108182,0.24171250185818344,0.7184480451910212,-0.9183993723028638,-0.9773521599328953,0.26010204081632654,0.7298979591836735,0.252051814496193,0.7073074260852368
-0.9008446566287184,-0.9804786736194678,0.26436893203883494,0.726116504854369,0.2558248778654641,0.7026493799323562,-0.8888888888888888,-0.9852941176470589,0.20809248554913296,0.7861271676300579,0.1935483870967742,0.7311827956989247,-0.9162512462612163,-0.9856721449641803,0.29448032883147385,0.6967116852613036,0.2859179019384265,0.6764538198403649,-0.891860465116279,-0.9780650215432825,0.24949231215549753,0.7406440382941688,0.24103139013452915,0.7155269058295964,-0.9010048381094157,-0.9803894865858641,0.2653303051249136,0.7250913399822257,0.2569324918722509,0.7021419009370816
-0.9237699237699237,-0.9776041666666667,0.2707063127286371,0.7203827033111341,0.2613183629119884,0.695400217312568,-0.9272727272727272,-0.978021978021978,0.22821576763485477,0.7551867219917012,0.2131782945736434,0.7054263565891473,-0.9297124600638977,-0.9769809650287737,0.2908921933085502,0.699814126394052,0.2814748201438849,0.677158273381295,-0.9209039548022598,-0.977863862755949,0.2619399973092964,0.7293152159289654,0.2525947067981318,0.7032952776336274,-0.9237018721299894,-0.9775940250733529,0.2716890595009597,0.7195777351247601,0.26246986834785835,0.6951603931021695
-0.919047619047619,-0.9761244423007356,0.2588483888008452,0.7301461524916358,0.24919477877606375,0.7029157484319376,-0.8095238095238095,-0.9590163934426229,0.24925816023738873,0.7240356083086054,0.22950819672131148,0.6666666666666666,-0.9244851258581236,-0.9727644121652292,0.2811193309745899,0.7085879704084915,0.2703371481596041,0.6814104546860501,-0.9167473378509197,-0.9773399014778326,0.25045460055764335,0.7382713056128015,0.24121424401634559,0.7110332749562172,-0.9222689075630253,-0.9766430612498447,0.2591416386897741,0.730333000635151,0.2498250524842547,0.7040762771168649
-0.922874671340929,-0.9786180508665316,0.2750281214848144,0.7139643258878354,0.2643039147556173,0.6861246235811906,-0.7283950617283951,-0.9737704918032787,0.20454545454545456,0.7702020202020202,0.18663594470046083,0.7027649769585254,-0.9225130890052357,-0.9757303370786516,0.29723000311235603,0.6924992219109866,0.2839726434730895,0.6616116562592923,-0.9230145867098866,-0.9795826452484612,0.2673020686667389,0.7214339867865266,0.25740508969545267,0.6947225698790155,-0.9275882704967086,-0.9787903507749679,0.277344398340249,0.7121161825726141,0.26699688423743706,0.685547655188943
-0.9348516949152542,-0.97942427539816,0.2693103202339348,0.7209899436559447,0.25680087051142547,0.6875,-0.900990099009901,-0.976401179941003,0.22246696035242292,0.7466960352422908,0.20119521912350596,0.6752988047808764,-0.9420018709073901,-0.9829391236913533,0.28930987821380244,0.6979702300405954,0.27466598150051386,0.6626413155190134,-0.9320280753601773,-0.9782204515272245,0.2621537865582026,0.7292271934921557,0.25036995930447653,0.6964483906770256,-0.9357823129251701,-0.9795291709314228,0.27087786540871234,0.7201297265423454,0.25876637093367133,0.6879312772848895
-0.9384682522365263,-0.9787287496859559,0.2743325751227104,0.714773135400455,0.2604273212865098,0.6785430162518468,-0.7647058823529411,-0.9806451612903225,0.2103960396039604,0.7673267326732673,0.19015659955257272,0.6935123042505593,-0.9394833948339484,-0.980422147445702,0.28990158322635856,0.6994009413778348,0.27340597255851495,0.6596045197740112,-0.9380421313506815,-0.978090405904059,0.2682845744680851,0.7207446808510638,0.2553393450403417,0.6859674102199019,-0.9417518897287683,-0.9786776717393173,0.2759170653907496,0.7134707397865293,0.2622587604221328,0.6781528773832429
-0.9412825979990159,-0.9777777777777777,0.28793388429752065,0.7012987012987013,0.2683302526186075,0.6535516239767626,-0.891156462585034,-0.9835616438356164,0.27893738140417457,0.6925996204933587,0.2441860465116279,0.606312292358804,-0.9189497716894978,-0.9716713881019831,0.2890135268888156,0.698779280765424,0.26614005772444177,0.6434756190186844,-0.9502876869965478,-0.9802148106274732,0.2875008271024945,0.7023092701647589,0.2692236198029618,0.6576615651527357,-0.9425210084033614,-0.9776320331377287,0.2881635025184037,0.701520728399845,0.2689873417721519,0.6548372513562387
-0.9597834493426141,-0.9783146281148944,0.3275767428112992,0.6659207026136892,0.2840093717967492,0.5773539317616049,-0.9596638655462185,-0.9908571428571429,0.40366350067842605,0.5936227951153324,0.34714119019836637,0.5105017502917153,-0.9264018691588785,-0.9742033383915023,0.2990393013100437,0.6906550218340611,0.24815190607334398,0.5731265400782722,-0.9692358584187892,-0.9796902767199797,0.3366744626350373,0.6580354159705981,0.2961257775383259,0.578782387226331,-0.9597933826608963,-0.977577873254565,0.322526903507587,0.6707190778513216,0.27978282946644795,0.5818295445668307
-0.9139026111503176,-0.9852318121292821,0.2525171522765749,0.7360776975853158,0.24583622484385842,0.7166030534351145,-0.7058823529411765,-0.9558823529411765,0.19653179190751446,0.7861271676300579,0.18888888888888888,0.7555555555555555,-0.8960593946316391,-0.9835438193647149,0.24749116607773852,0.7386572438162544,0.23983016025202028,0.7157923572113409,-0.9427516158818098,-0.9881383855024711,0.2610896817743491,0.7316779170684667,0.25621007806955287,0.7180033120416371,-0.9164285714285715,-0.9857230769230769,0.25339366515837103,0.7352941176470589,0.24673951357067325,0.7159851956291857
-0.9119153294639809,-0.9817535545023697,0.25531729428172945,0.7357043235704324,0.24798916264499196,0.7145880958428583,-0.8604651162790697,-0.9850746268656716,0.24157303370786518,0.7528089887640449,0.23243243243243245,0.7243243243243244,-0.8865866957470011,-0.9815451420300344,0.24660481376899288,0.7431760118327283,0.23867777199375326,0.7192868297761582,-0.954337899543379,-0.9821489872983179,0.27137546468401486,0.7219330855018588,0.26532590259268235,0.7058395929246426,-0.9126819126819127,-0.981699975921021,0.25553391181158136,0.7354347441119178,0.24823671082057458,0.7144331670393944
-0.9151266255989049,-0.9823132417966023,0.2510956432070121,0.7385064879264415,0.24396760457543626,0.7175419554145446,-0.8518518518518519,-0.981651376146789,0.19424460431654678,0.7841726618705036,0.18,0.7266666666666667,-0.9038974906567004,-0.9777660137638963,0.245478374836173,0.7427260812581914,0.23778088104608353,0.7194363336295544,-0.9351763584366063,-0.9911171848308848,0.2617918642375842,0.7304716745695033,0.25585365853658537,0.7139024390243902,-0.9157167530224525,-0.9823217442545669,0.25178291876848147,0.7379544268568446,0.24477889574701953,0.7174262281220936
