,A_FB,A_C,A_in,A_out,Du,Dd,Fu_Nq,Fd_Nq,Fu_NEvents,Fd_NEvents,Du_out,Dd_out,Fu_Nq_out,Fd_Nq_out,Fu_NEvents_out,Fd_NEvents_out,Du_in,Dd_in,Fu_Nq_in,Fd_Nq_in,Fu_NEvents_in,Fd_NEvents_in,Du_notIN,Dd_notIN,Fu_Nq_notIN,Fd_Nq_notIN,Fu_NEvents_notIN,Fd_NEvents_notIN,Du_notOUT,Dd_notOUT,Fu_Nq_notOUT,Fd_Nq_notOUT,Fu_NEvents_notOUT,Fd_NEvents_notOUT,Fu_NqXDu,Fd_NqXDd,Fu_NEventsXDu,Fd_NEventsXDd,Fu_Nq_outXDu_out,Fd_Nq_outXDd_out,Fu_NEvents_outXDu_out,Fd_NEvents_outXDd_out,Fu_Nq_inXDu_in,Fd_Nq_inXDd_in,Fu_NEvents_inXDu_in,Fd_NEvents_inXDd_in,Fu_Nq_notINXDu_notIN,Fd_Nq_notINXDd_notIN,Fu_NEvents_notINXDu_notIN,Fd_NEvents_notINXDd_notIN,Fu_Nq_notOUTXDu_notOUT,Fd_Nq_notOUTXDd_notOUT,Fu_NEvents_notOUTXDu_notOUT,Fd_NEvents_notOUTXDd_notOUT
Du_out,0.0362876754382822,-0.332724813444256,0.29554654393229585,-0.23581673781741389,0.4441338944017818,0.27572177397160114,-0.3027663099439128,0.2690012494469019,-0.35913660035698997,0.2464560314173456,1.0,0.11701697637342279,-0.5475472311575567,0.5072484675520292,-0.5361902966834005,0.33760525560904,-0.05386309911089895,0.10344147290277195,-0.15605278898379965,0.18240904393961666,-0.028803442337031363,0.3319996194227106,0.4742059145602473,0.2004909452460721,-0.21410552683685025,0.17431820223916497,-0.15134322174975987,0.17419251238615358,0.39525227998848506,0.38633645701401775,-0.29746041549825214,0.2651827861441644,-0.314894238583307,0.26136887403323417,0.34471488310862425,-0.17405793523664778,0.4550824194177293,-0.20416823844550794,0.6519248940828323,-0.445303826369304,0.6411031341220765,-0.29464672866962227,0.10567504029690444,-0.15381691400778236,0.007534099811867674,-0.3011105589984656,0.2847756726289945,-0.09889647994435924,0.26194638149350474,-0.1373648195946119,0.33794865571040433,-0.16348985995739193,0.39828141894215136,-0.21177534966692846
Dd_out,-0.008476415546692402,0.18263271724033242,-0.40866232024687715,-0.017481005259789538,-0.3748535645634376,0.7939027979296931,0.5802526447304992,-0.6291346703810939,0.24096282929170298,-0.64555123649567,0.11701697637342279,1.0,0.15412617320733485,-0.24917921637230236,-0.23987189577614387,-0.5581957609866955,-0.4650553752535974,-0.08818928644958443,0.14778992936783628,-0.07730341705312768,0.2257105822832354,0.09234520060759831,-0.005695427977595352,0.7775060701156841,0.5074203896099816,-0.5920130913281143,-0.013117270543571617,-0.6607821775286207,-0.3810153563693393,0.6375159989089446,0.5505204268728618,-0.5837019626898323,0.38993991409617074,-0.5908422546517061,-0.5717084358277714,0.7139804447589784,-0.3524363230245191,0.6800733943681059,-0.12398419802486571,0.4134699776697737,0.2385386491421322,0.6161375576563908,-0.2690542148788888,0.05531276241140211,-0.31781908093552413,-0.10101888168286235,-0.44233800147509034,0.7019648181521907,0.002165255806860065,0.6927886149174286,-0.5538891237816332,0.6620789392724759,-0.4640709225566886,0.6278353772512831
Fu_Nq_out,-0.052791983271036215,0.21489335045796448,-0.31938502214986897,0.16194634859622234,-0.6056340840973351,0.06928829272303633,0.586502810627951,-0.5588702336504228,0.5753124791967016,-0.5455086310620736,-0.5475472311575567,0.15412617320733485,1.0,-0.9939275482570444,0.879029362833087,-0.8218463628604258,-0.07238633815195701,0.12016196045626251,0.3516696486341227,-0.3670781006649931,0.17470176016494676,-0.5377823909742045,-0.17588445851073942,0.18510034952668838,0.33181023239082547,-0.3470441574720329,-0.012975987745474133,-0.4544838587240688,-0.580991250669045,-0.030702352618513305,0.5694937343812677,-0.5407681998239323,0.5192039238032526,-0.5669299642455161,-0.6136552951942162,0.5045880567275219,-0.6862306178578734,0.5228713399376881,-0.9908059221370678,0.9609448404137766,-0.8799244608415179,0.7870055079864606,-0.3022916236050228,0.3773851582649118,-0.1604508506414423,0.5279442070734979,-0.32015551059625036,0.3470887126161237,-0.042739475554996034,0.44306168644368343,-0.6057192759795483,0.4910573314536604,-0.6314271809819436,0.5428908454079454
Fd_Nq_out,0.05559019340667288,-0.2254018630863546,0.34396490087010156,-0.15437544386306182,0.6182850310884074,-0.15183641594016542,-0.6246920054505135,0.6047599271418297,-0.5799267183144171,0.5922959336200176,0.5072484675520292,-0.24917921637230236,-0.9939275482570444,1.0,-0.8389032608110273,0.8587515014295555,0.10953794126348775,-0.12965500294043797,-0.3599712064771859,0.3696354952317065,-0.1937713995993493,0.5203858152784204,0.15757641717279466,-0.261961694239019,-0.36715438560984337,0.3931520933474283,0.020974110024580023,0.5048407185320563,0.5954127780721724,-0.042806373344004806,-0.605091806139599,0.5823837669888713,-0.5394907467231022,0.6081473274162136,0.6490170980228729,-0.5618377634962795,0.6962571192477764,-0.5744358937254175,0.9796813114319045,-0.9840834894872327,0.8374349300781441,-0.8307854132467135,0.3212612933535344,-0.38172415319703357,0.18677010095155971,-0.5126338131923771,0.3471130826864712,-0.40575504420985375,0.03146215330372647,-0.4976838233104131,0.6393463289337324,-0.5438927005286034,0.6538637879894214,-0.5894646930036477
Fu_NEvents_out,-0.07785926607038121,0.07810454351376765,-0.006060055110657088,0.1692353974282746,-0.27944670192979126,-0.24124768703590044,0.20626442717760485,-0.17402093866037668,0.39806743663731925,-0.12456263718804117,-0.5361902966834005,-0.23987189577614387,0.879029362833087,-0.8389032608110273,1.0,-0.45935077986185946,0.2271309661403358,0.17892931886497337,0.21218457923077563,-0.2714305966417094,0.0012091834221685232,-0.5379527838826206,-0.029461063052889196,-0.13450905554899528,-0.02552751178101674,0.03279330317002966,-0.06511608168382757,-0.020771097114953296,-0.2553801861382343,-0.25564171356860144,0.20519916238880248,-0.1779019545437172,0.26329538206625336,-0.17331989737026626,-0.22246372681784604,0.10204750922639085,-0.4066240670286916,0.09580648171307331,-0.8798467287543388,0.7442775664011245,-0.9908667647539883,0.41003509314478415,-0.09071029590006781,0.29768023143240135,0.06875830156063797,0.5364162868210876,0.019355582284250796,-0.06248483196447609,0.044418050195436876,0.005593375488578751,-0.22190799622441396,0.11238811527585621,-0.296278375714908,0.14235410422915845
Fd_NEvents_out,0.024290032518757467,-0.3176066781882601,0.5697459787627662,-0.10988189236677035,0.7998803784958313,-0.3991186940372514,-0.833281216734419,0.8127289892270678,-0.5930686820811486,0.8574984647605408,0.33760525560904,-0.5581957609866955,-0.8218463628604258,0.8587515014295555,-0.45935077986185946,1.0,0.4280785651412983,-0.0009827968269556123,-0.43989529395973853,0.3962259343898931,-0.3585137005637087,0.3905512968775217,0.23666892135893491,-0.504333390990823,-0.6152320443910417,0.6519862587805075,-0.010532270007802894,0.8125045961116696,0.7869508385321832,-0.24555461966811715,-0.8053609643487137,0.7777024466881582,-0.6397835253645804,0.8444484383240896,0.8672424961700463,-0.7979680713453392,0.7925653330659113,-0.8502568031735296,0.795840035727185,-0.9112339653911724,0.46418450920409215,-0.9965101857968122,0.49327810779865366,-0.3814295796359219,0.41539766156924657,-0.3718582477398684,0.5784225798071708,-0.693311444630008,0.08220002950460692,-0.8118129642338454,0.8567078459227346,-0.7653332472098809,0.8165599362319387,-0.837718256231651
Du_in,-0.03744699886551841,-0.12717037082454496,0.401297763519188,0.022441871461579478,0.5772519281695535,-0.5138772561028394,-0.3089253348480697,0.282489527561501,0.11083225668007918,0.44739147371562515,-0.05386309911089895,-0.4650553752535974,-0.07238633815195701,0.10953794126348775,0.2271309661403358,0.4280785651412983,1.0,0.2513718731127193,-0.406729239086405,0.27029277730411266,-0.5289598344270023,-0.03769274538351216,-0.09504069991838116,-0.5999319086690261,-0.23208678552387427,0.27767625873700963,0.3281104146316734,0.5218681104629084,0.6057596582215542,-0.47569729228164437,-0.2604904008346815,0.2193677083848602,0.03358068232433534,0.3973619337552758,0.3943865051901317,-0.3595105822128442,0.18972622960058985,-0.47588004309640325,0.04666489111629781,-0.193938769619975,-0.22690137224203108,-0.4552968650783927,0.6581891995178469,-0.2093969778913889,0.7214632835697016,0.06926930098445475,0.18516855259871698,-0.39485059453745225,-0.2716192886252839,-0.5560802460305445,0.3790368277266704,-0.2993318365059784,0.2502434183324631,-0.43140577912265377
Dd_in,0.044942030499572315,-0.03993397649332147,0.18769340182921798,-0.009218767492820103,0.07257421320184429,0.14850508190168155,0.05899008803753932,-0.10013329392382782,0.08210436646713176,-0.04473908085004015,0.10344147290277195,-0.08818928644958443,0.12016196045626251,-0.12965500294043797,0.17892931886497337,-0.0009827968269556123,0.2513718731127193,1.0,0.018271407567385545,-0.06747685243033326,-0.1289012785383383,-0.28535300356202886,0.17146838397175912,0.09600329843957046,0.01900841854621134,-0.06796260965503895,0.0114019953818575,-0.019318488081801942,0.07383373177596217,0.24465455874705944,0.07048226069094408,-0.11858442681527943,0.06405157295103812,-0.07988618953973306,-0.029650735179447742,0.11914957242841162,-0.025368589931891672,0.05534595531763929,-0.09776545117118238,0.10646440384553049,-0.14987819568336472,-0.007251347528821571,0.07071933678426742,0.2639650625618531,0.17872234594494643,0.40371571235604986,0.023364084503365523,0.08235159684935786,0.047812459393586984,0.02725496646728736,-0.03523034503387187,0.15741388287634517,-0.013993182853315913,0.09905106936344418
Fu_Nq_in,-0.003143154462659199,0.20556819537099147,-0.3633284409236157,0.2185750454386753,-0.35121019166906525,0.18716588082061725,0.39742425953512145,-0.37002575605433863,0.3588889408376809,-0.3936224353701733,-0.15605278898379965,0.14778992936783628,0.3516696486341227,-0.3599712064771859,0.21218457923077563,-0.43989529395973853,-0.406729239086405,0.018271407567385545,1.0,-0.9872553750009021,0.9294760137468,-0.7538493450896446,0.34198180881557366,0.3776787752070452,0.012137800368041993,-0.06138768516063077,-0.44491830393618037,-0.3209349442739754,-0.3462879385751847,0.19891463393186934,0.4012719727460693,-0.37462285766755904,0.348149110123617,-0.4138406918951321,-0.40323219058603904,0.37314476418732057,-0.41706830190936833,0.39884294456620817,-0.3325019358038993,0.3780102775822579,-0.20545185475286887,0.4423059370437465,-0.9550374573008732,0.9576272873790748,-0.8755294096886783,0.7235432528086607,0.05643102244192983,0.1559408942914595,0.4376345404536896,0.34947223383684184,-0.41145556297360186,0.3911940255238363,-0.4053854426252964,0.4239146694306669
Fd_Nq_in,-0.004016790132647358,-0.19801437543718015,0.322796869143308,-0.2335892578181644,0.29027276114393036,-0.11202155073628467,-0.3705907090602119,0.34597238584640916,-0.39776351156431966,0.34449271376493246,0.18240904393961666,-0.07730341705312768,-0.3670781006649931,0.3696354952317065,-0.2714305966417094,0.3962259343898931,0.27029277730411266,-0.06747685243033326,-0.9872553750009021,1.0,-0.8857816681220789,0.8149582852204951,-0.34588918522516404,-0.30076703625641227,0.025855300039984062,0.019221851498796974,0.4188943176798779,0.25458955648944187,0.2807821200751031,-0.13043619398609874,-0.3821871343032694,0.3604574471392092,-0.3717312092388028,0.3747558902962637,0.3654979072818715,-0.33609112217144543,0.4160495001908229,-0.34505678708930093,0.3518963057488906,-0.373775609659279,0.26493776140631997,-0.3938215585963571,0.9002555607204138,-0.9801140699873118,0.8003193397351033,-0.788527342509204,-0.09078252947661582,-0.09985352649488995,-0.4201768569478105,-0.2790439681396062,0.37692616696347514,-0.36438995229752225,0.39225928678097,-0.3795137340221887
Fu_NEvents_in,-0.0021817116509920144,0.12212503968683079,-0.31844076935172,0.12880469454174312,-0.23728460967290027,0.2715297637834435,0.2693703766188784,-0.2566967352354026,0.15941537665278566,-0.300163213986166,-0.028803442337031363,0.2257105822832354,0.17470176016494676,-0.1937713995993493,0.0012091834221685232,-0.3585137005637087,-0.5289598344270023,-0.1289012785383383,0.9294760137468,-0.8857816681220789,1.0,-0.463023183505143,0.3882540672623593,0.43345468589286684,-0.07650929393730964,0.019051658916148594,-0.5374330757116955,-0.2517412516670066,-0.24055656318573795,0.2837864552450866,0.26179161468029927,-0.24687071456045884,0.1928945607556646,-0.28756271998306515,-0.27616585132974136,0.29083378580864205,-0.22296908119322165,0.3174593227525921,-0.15019618291937842,0.2360830253459847,0.008376668408540002,0.37305474387673937,-0.9415188665211716,0.8301860779651279,-0.9690278519995359,0.42747508391686084,0.138546448601824,0.09883300840476997,0.519875778700235,0.2901122857360528,-0.2753825016450915,0.2902883408971899,-0.24775886874465688,0.31005554272522673
